Cl.Ord.ID,Instrument,Side,Quantity,Price
aa0,Rose,2,370,587
aa1,Rose,2,770,829
aa2,Rose,2,410,24
aa3,Rose,2,220,460
aa4,Rose,2,50,490
aa5,Rose,2,240,782
aa6,Rose,1,380,961
aa7,Rose,1,990,739
aa8,Rose,2,200,723
aa9,Rose,2,290,398
aa10,Rose,1,810,580
aa11,Rose,1,400,479
aa12,Rose,1,910,71
aa13,Rose,2,630,519
aa14,Rose,1,160,674
aa15,Rose,2,540,783
aa16,Rose,1,630,281
aa17,Rose,2,710,895
aa18,Rose,2,140,851
aa19,Rose,1,580,187
aa20,Rose,2,170,620
aa21,Rose,1,240,789
aa22,Rose,2,540,638
aa23,Rose,2,290,423
aa24,Rose,2,820,551
aa25,Rose,1,40,747
aa26,Rose,2,570,206
aa27,Rose,2,910,965
aa28,Rose,1,250,842
aa29,Rose,1,270,474
aa30,Rose,2,150,829
aa31,Rose,1,70,122
aa32,Rose,1,720,229
aa33,Rose,2,120,812
aa34,Rose,1,20,193
aa35,Rose,2,390,323
aa36,Rose,2,210,66
aa37,Rose,1,170,494
aa38,Rose,2,770,374
aa39,Rose,1,400,646
aa40,Rose,1,630,403
aa41,Rose,1,280,591
aa42,Rose,2,460,326
aa43,Rose,2,410,422
aa44,Rose,2,610,200
aa45,Rose,2,820,548
aa46,Rose,2,420,62
aa47,Rose,2,680,578
aa48,Rose,2,490,407
aa49,Rose,1,180,577
aa50,Rose,2,330,986
aa51,Rose,2,410,937
aa52,Rose,1,900,453
aa53,Rose,2,610,84
aa54,Rose,2,610,93
aa55,Rose,2,80,12
aa56,Rose,1,910,723
aa57,Rose,2,730,679
aa58,Rose,2,390,467
aa59,Rose,1,210,780
aa60,Rose,2,570,401
aa61,Rose,1,410,845
aa62,Rose,2,730,416
aa63,Rose,2,150,151
aa64,Rose,2,260,423
aa65,Rose,2,370,93
aa66,Rose,2,540,132
aa67,Rose,1,610,505
aa68,Rose,2,240,837
aa69,Rose,1,100,159
aa70,Rose,1,800,358
aa71,Rose,2,180,725
aa72,Rose,2,620,671
aa73,Rose,2,500,382
aa74,Rose,2,500,669
aa75,Rose,1,630,361
aa76,Rose,1,160,694
aa77,Rose,1,230,865
aa78,Rose,2,980,798
aa79,Rose,2,480,930
aa80,Rose,1,610,589
aa81,Rose,2,500,639
aa82,Rose,2,160,278
aa83,Rose,1,240,365
aa84,Rose,2,720,585
aa85,Rose,1,560,395
aa86,Rose,1,650,610
aa87,Rose,2,340,450
aa88,Rose,1,770,695
aa89,Rose,2,720,417
aa90,Rose,1,760,841
aa91,Rose,2,300,313
aa92,Rose,1,230,872
aa93,Rose,1,320,866
aa94,Rose,1,910,768
aa95,Rose,2,730,38
aa96,Rose,2,400,890
aa97,Rose,1,50,104
aa98,Rose,2,640,163
aa99,Rose,2,310,27
aa100,Rose,2,410,333
aa101,Rose,2,610,959
aa102,Rose,2,270,221
aa103,Rose,1,420,530
aa104,Rose,2,590,661
aa105,Rose,1,650,926
aa106,Rose,1,400,564
aa107,Rose,2,700,221
aa108,Rose,2,680,946
aa109,Rose,1,770,681
aa110,Rose,2,170,612
aa111,Rose,1,520,367
aa112,Rose,1,410,990
aa113,Rose,2,560,518
aa114,Rose,1,500,103
aa115,Rose,2,330,338
aa116,Rose,2,750,134
aa117,Rose,1,580,806
aa118,Rose,1,990,153
aa119,Rose,1,700,86
aa120,Rose,1,780,185
aa121,Rose,2,980,348
aa122,Rose,1,330,309
aa123,Rose,2,680,425
aa124,Rose,1,90,353
aa125,Rose,1,330,618
aa126,Rose,2,510,425
aa127,Rose,2,50,322
aa128,Rose,1,60,826
aa129,Rose,2,540,448
aa130,Rose,1,810,468
aa131,Rose,1,180,384
aa132,Rose,2,760,540
aa133,Rose,1,820,427
aa134,Rose,2,510,490
aa135,Rose,1,210,663
aa136,Rose,2,850,103
aa137,Rose,1,460,961
aa138,Rose,1,630,837
aa139,Rose,2,150,428
aa140,Rose,2,80,219
aa141,Rose,1,970,428
aa142,Rose,2,700,889
aa143,Rose,1,320,818
aa144,Rose,1,190,443
aa145,Rose,2,960,137
aa146,Rose,1,100,183
aa147,Rose,1,930,215
aa148,Rose,2,650,508
aa149,Rose,1,590,464
aa150,Rose,1,450,622
aa151,Rose,1,520,952
aa152,Rose,2,770,949
aa153,Rose,2,560,275
aa154,Rose,1,810,975
aa155,Rose,2,650,427
aa156,Rose,1,190,963
aa157,Rose,2,110,319
aa158,Rose,2,30,24
aa159,Rose,1,460,602
aa160,Rose,1,140,569
aa161,Rose,2,560,294
aa162,Rose,2,300,757
aa163,Rose,2,260,357
aa164,Rose,1,770,707
aa165,Rose,2,870,285
aa166,Rose,1,300,433
aa167,Rose,2,180,361
aa168,Rose,1,810,908
aa169,Rose,1,410,946
aa170,Rose,1,350,133
aa171,Rose,1,550,306
aa172,Rose,2,670,739
aa173,Rose,1,290,702
aa174,Rose,2,900,296
aa175,Rose,2,40,531
aa176,Rose,1,70,824
aa177,Rose,2,820,673
aa178,Rose,2,920,513
aa179,Rose,2,80,560
aa180,Rose,1,760,21
aa181,Rose,2,40,305
aa182,Rose,1,600,645
aa183,Rose,2,180,535
aa184,Rose,2,930,937
aa185,Rose,1,290,530
aa186,Rose,1,660,57
aa187,Rose,1,30,381
aa188,Rose,2,270,297
aa189,Rose,1,570,392
aa190,Rose,1,550,428
aa191,Rose,1,410,238
aa192,Rose,2,270,411
aa193,Rose,2,390,657
aa194,Rose,2,200,652
aa195,Rose,2,800,971
aa196,Rose,1,350,28
aa197,Rose,2,260,308
aa198,Rose,1,280,986
aa199,Rose,1,140,105
aa200,Rose,1,80,289
aa201,Rose,2,820,680
aa202,Rose,2,220,180
aa203,Rose,2,830,319
aa204,Rose,1,500,80
aa205,Rose,2,860,789
aa206,Rose,1,130,457
aa207,Rose,1,810,434
aa208,Rose,1,550,700
aa209,Rose,2,760,622
aa210,Rose,2,540,974
aa211,Rose,2,370,589
aa212,Rose,2,60,137
aa213,Rose,2,20,281
aa214,Rose,1,680,200
aa215,Rose,2,760,489
aa216,Rose,1,1000,880
aa217,Rose,2,270,440
aa218,Rose,2,580,574
aa219,Rose,1,740,746
aa220,Rose,1,860,320
aa221,Rose,2,750,468
aa222,Rose,1,390,597
aa223,Rose,2,590,622
aa224,Rose,2,540,341
aa225,Rose,2,640,690
aa226,Rose,2,670,181
aa227,Rose,2,180,508
aa228,Rose,1,360,537
aa229,Rose,1,410,327
aa230,Rose,2,820,636
aa231,Rose,2,400,19
aa232,Rose,2,410,546
aa233,Rose,1,290,86
aa234,Rose,2,610,58
aa235,Rose,2,960,459
aa236,Rose,1,20,186
aa237,Rose,1,720,838
aa238,Rose,2,490,891
aa239,Rose,2,870,384
aa240,Rose,2,230,487
aa241,Rose,2,480,212
aa242,Rose,2,540,750
aa243,Rose,2,910,823
aa244,Rose,1,410,97
aa245,Rose,2,840,822
aa246,Rose,2,720,410
aa247,Rose,1,950,722
aa248,Rose,2,90,413
aa249,Rose,2,910,190
aa250,Rose,1,50,574
aa251,Rose,1,930,188
aa252,Rose,2,380,681
aa253,Rose,1,370,115
aa254,Rose,2,710,447
aa255,Rose,1,600,261
aa256,Rose,2,260,381
aa257,Rose,2,430,707
aa258,Rose,2,590,409
aa259,Rose,1,350,271
aa260,Rose,2,430,422
aa261,Rose,1,970,92
aa262,Rose,1,420,141
aa263,Rose,1,660,83
aa264,Rose,2,250,481
aa265,Rose,1,620,14
aa266,Rose,1,50,310
aa267,Rose,2,70,246
aa268,Rose,1,960,423
aa269,Rose,1,270,528
aa270,Rose,1,650,710
aa271,Rose,1,900,164
aa272,Rose,2,650,736
aa273,Rose,1,840,650
aa274,Rose,1,830,564
aa275,Rose,1,430,326
aa276,Rose,1,720,49
