Cl.Ord.ID,Instrument,Side,Quantity,Price
aa0,Rose,2,820,144
aa1,Rose,1,550,156
aa2,Rose,2,90,285
aa3,Rose,1,650,968
aa4,Rose,1,560,426
aa5,Rose,1,820,132
aa6,Rose,1,490,711
aa7,Rose,1,410,256
aa8,Rose,2,600,966
aa9,Rose,2,350,429
aa10,Rose,2,560,773
aa11,Rose,1,170,257
aa12,Rose,1,210,455
aa13,Rose,2,450,257
aa14,Rose,1,1000,756
aa15,Rose,2,830,601
aa16,Rose,2,250,418
aa17,Rose,1,400,275
aa18,Rose,1,580,793
aa19,Rose,2,210,412
aa20,Rose,1,290,524
aa21,Rose,2,610,940
aa22,Rose,1,10,891
aa23,Rose,2,580,360
aa24,Rose,2,10,304
aa25,Rose,2,1000,618
aa26,Rose,1,930,430
aa27,Rose,1,370,431
aa28,Rose,1,150,531
aa29,Rose,2,20,526
aa30,Rose,2,650,696
aa31,Rose,1,210,275
aa32,Rose,1,160,150
aa33,Rose,1,970,499
aa34,Rose,2,780,198
aa35,Rose,1,170,896
aa36,Rose,2,460,148
aa37,Rose,1,660,221
aa38,Rose,2,790,742
aa39,Rose,1,710,266
aa40,Rose,2,900,128
aa41,Rose,2,40,625
aa42,Rose,1,270,424
aa43,Rose,1,100,181
aa44,Rose,1,80,935
aa45,Rose,1,540,854
aa46,Rose,1,620,680
aa47,Rose,2,580,475
aa48,Rose,1,70,169
aa49,Rose,2,770,564
aa50,Rose,2,680,433
aa51,Rose,2,930,113
aa52,Rose,2,930,132
aa53,Rose,1,20,173
aa54,Rose,1,490,553
aa55,Rose,1,990,221
aa56,Rose,1,210,46
aa57,Rose,1,650,4
aa58,Rose,2,390,490
aa59,Rose,2,290,108
aa60,Rose,1,500,605
aa61,Rose,1,840,953
aa62,Rose,2,570,591
aa63,Rose,2,640,623
aa64,Rose,2,400,602
aa65,Rose,2,690,227
aa66,Rose,1,170,750
aa67,Rose,1,700,993
aa68,Rose,2,590,711
aa69,Rose,1,490,704
aa70,Rose,2,580,440
aa71,Rose,2,860,173
aa72,Rose,2,100,876
aa73,Rose,2,980,638
aa74,Rose,2,730,929
aa75,Rose,1,640,955
aa76,Rose,2,440,710
aa77,Rose,1,780,764
aa78,Rose,1,70,88
aa79,Rose,2,350,169
aa80,Rose,2,390,365
aa81,Rose,1,910,920
aa82,Rose,2,400,450
aa83,Rose,1,90,686
aa84,Rose,1,50,163
aa85,Rose,1,30,129
aa86,Rose,2,690,927
aa87,Rose,2,120,435
aa88,Rose,1,690,605
aa89,Rose,1,410,281
aa90,Rose,2,560,22
aa91,Rose,2,10,372
aa92,Rose,1,350,688
aa93,Rose,1,150,300
aa94,Rose,2,840,307
aa95,Rose,2,720,194
aa96,Rose,2,510,796
aa97,Rose,1,280,293
aa98,Rose,2,310,677
aa99,Rose,1,280,3
aa100,Rose,1,310,238
aa101,Rose,2,640,984
aa102,Rose,2,90,168
aa103,Rose,1,380,236
aa104,Rose,2,770,884
aa105,Rose,1,310,67
aa106,Rose,1,250,445
aa107,Rose,1,420,253
aa108,Rose,2,10,804
aa109,Rose,2,210,126
aa110,Rose,1,950,424
aa111,Rose,2,260,158
aa112,Rose,2,10,350
aa113,Rose,2,870,409
aa114,Rose,2,180,646
aa115,Rose,2,960,532
aa116,Rose,2,850,762
aa117,Rose,1,420,298
aa118,Rose,2,690,660
aa119,Rose,1,540,471
aa120,Rose,2,400,23
aa121,Rose,1,840,408
aa122,Rose,1,70,197
aa123,Rose,2,800,484
aa124,Rose,1,300,702
aa125,Rose,2,690,610
aa126,Rose,2,770,610
